"fact_id","sku","fact_category","attribute","value","value_type","unit","sequence","evidence_level","source","source_type","allowed_expression","prohibited_expression","generation_policy","market_scope","language_scope","is_numeric","status","linked_fact_ids","notes"
"MV-CLEAN-001-F033","MV-CLEAN-001","risk_limit","prohibited_claim","临床证明","string","","6","D","SIM-CLAIM-CLEAN-V1","project_simulated_internal_claim_review","[]","[""临床证明""]","blocked","[""US"",""MX""]","[""zh"",""en"",""es""]","false","prohibited","[]","命中该表达或语义等价表达时阻止内容导出。"
"MV-CLEAN-001-F034","MV-CLEAN-001","packaging","packaging_feature","120 mL PET泵瓶","string","","1","A","SIM-SPEC-CLEAN-V1","project_simulated_product_specification","[""120 mL PET泵瓶""]","[""100%环保"",""保证可回收"",""零废弃""]","direct","[""US"",""MX""]","[""zh"",""en"",""es""]","false","active","[]",""
"MV-CLEAN-001-F035","MV-CLEAN-001","packaging","packaging_feature","可回收性取决于当地设施","string","","2","A","SIM-SPEC-CLEAN-V1","project_simulated_product_specification","[""可回收性取决于当地设施""]","[""100%环保"",""保证可回收"",""零废弃""]","direct","[""US"",""MX""]","[""zh"",""en"",""es""]","false","active","[]",""
"MV-CLEAN-001-F036","MV-CLEAN-001","price","price_usd","16","number","USD","","A","SIM-SPEC-CLEAN-V1","project_simulated_product_specification","[""USD 16.00""]","[""虚构折扣"",""最低价保证""]","direct","[""US"",""MX""]","[""zh"",""en"",""es""]","true","active","[]","模拟建议零售价；发布前必须重新确认。"
"MV-CLEAN-001-F037","MV-CLEAN-001","price","price_mxn","319","number","MXN","","A","SIM-SPEC-CLEAN-V1","project_simulated_product_specification","[""MXN 319.00""]","[""虚构折扣"",""最低价保证""]","direct","[""US"",""MX""]","[""zh"",""en"",""es""]","true","active","[]","模拟建议零售价；不是由汇率公式换算，发布前必须重新确认。"
"MV-CLEAN-001-F038","MV-CLEAN-001","specification","variants","仅120 mL","string","","","A","SIM-SPEC-CLEAN-V1","project_simulated_product_specification","[""仅120 mL""]","[""未经确认的其他规格或套装""]","direct","[""US"",""MX""]","[""zh"",""en"",""es""]","false","active","[]",""
"MV-CLEAN-001-F039","MV-CLEAN-001","market","target_market","US","string","","","A","SIM-SPEC-CLEAN-V1","project_simulated_product_specification","[""US""]","[""将目标市场范围表述为已获得当地监管批准""]","direct","[""US""]","[""zh"",""en"",""es""]","false","active","[]",""
"MV-CLEAN-001-F040","MV-CLEAN-001","market","target_market","MX","string","","","A","SIM-SPEC-CLEAN-V1","project_simulated_product_specification","[""MX""]","[""将目标市场范围表述为已获得当地监管批准""]","direct","[""MX""]","[""zh"",""en"",""es""]","false","active","[]",""
"MV-CLEAN-001-F041","MV-CLEAN-001","certification","verified_certification","none_verified","string","","","A","SIM-SPEC-CLEAN-V1","project_simulated_product_specification","[""未提供可验证认证""]","[""临床认证"",""皮肤科医生认证"",""TSA批准"",""监管机构批准""]","direct","[""US"",""MX""]","[""zh"",""en"",""es""]","false","active","[]","表示当前项目资料中没有可验证认证，不表示商品不需要合规审核。"
"MV-CLEAN-001-F042","MV-CLEAN-001","marketing_direction","content_hypothesis","测试简单晨间清洁及清洁后舒适感的内容角度","string","","","C","data/products/product_cards/MV-CLEAN-001.md#营销建议（不是商品事实）","project_simulated_marketing_hypothesis","[]","[""不得作为确定商品事实直接输出""]","not_directly_usable","[""US""]","[""en""]","false","non_fact","[]","只有在消费者洞察阶段获得数据支持且与商品事实匹配后，才能用于卖点选择。"
"MV-CLEAN-001-F043","MV-CLEAN-001","marketing_direction","content_hypothesis","测试清楚说明日常清洁步骤的内容角度","string","","","C","data/products/product_cards/MV-CLEAN-001.md#营销建议（不是商品事实）","project_simulated_marketing_hypothesis","[]","[""不得作为确定商品事实直接输出""]","not_directly_usable","[""MX""]","[""es""]","false","non_fact","[]","只有在消费者洞察阶段获得数据支持且与商品事实匹配后，才能用于卖点选择。"
"MV-SERUM-001-F001","MV-SERUM-001","basic_info","product_name_zh","水衡保湿精华","string","","","A","SIM-SPEC-SERUM-V1","project_simulated_product_specification","[""水衡保湿精华""]","[""未经确认的其他商品名称""]","direct","[""US"",""MX""]","[""zh"",""en"",""es""]","false","active","[]",""
"MV-SERUM-001-F002","MV-SERUM-001","basic_info","category","保湿精华","string","","","A","SIM-SPEC-SERUM-V1","project_simulated_product_specification","[""保湿精华""]","[""药品"",""医疗器械""]","direct","[""US"",""MX""]","[""zh"",""en"",""es""]","false","active","[]",""
"MV-SERUM-001-F003","MV-SERUM-001","specification","net_volume","30","number","mL","","A","SIM-SPEC-SERUM-V1","project_simulated_product_specification","[""30 mL""]","[""超过或少于30 mL""]","direct","[""US"",""MX""]","[""zh"",""en"",""es""]","true","active","[]",""
"MV-SERUM-001-F004","MV-SERUM-001","ingredient","ingredient","水","string","","1","A","SIM-SPEC-SERUM-V1","project_simulated_product_specification","[""含水"",""水""]","[""不含水""]","direct","[""US"",""MX""]","[""zh"",""en"",""es""]","false","active","[]","sequence保留模拟配方中的成分顺序。"
"MV-SERUM-001-F005","MV-SERUM-001","ingredient","ingredient","甘油","string","","2","A","SIM-SPEC-SERUM-V1","project_simulated_product_specification","[""含甘油"",""甘油""]","[""不含甘油""]","direct","[""US"",""MX""]","[""zh"",""en"",""es""]","false","active","[]","sequence保留模拟配方中的成分顺序。"
"MV-SERUM-001-F006","MV-SERUM-001","ingredient","ingredient","丙二醇","string","","3","A","SIM-SPEC-SERUM-V1","project_simulated_product_specification","[""含丙二醇"",""丙二醇""]","[""不含丙二醇""]","direct","[""US"",""MX""]","[""zh"",""en"",""es""]","false","active","[]","sequence保留模拟配方中的成分顺序。"
"MV-SERUM-001-F007","MV-SERUM-001","ingredient","ingredient","透明质酸钠","string","","4","A","SIM-SPEC-SERUM-V1","project_simulated_product_specification","[""含透明质酸钠"",""透明质酸钠""]","[""不含透明质酸钠""]","direct","[""US"",""MX""]","[""zh"",""en"",""es""]","false","active","[]","sequence保留模拟配方中的成分顺序。"
"MV-SERUM-001-F008","MV-SERUM-001","ingredient","ingredient","泛醇","string","","5","A","SIM-SPEC-SERUM-V1","project_simulated_product_specification","[""含泛醇"",""泛醇""]","[""不含泛醇""]","direct","[""US"",""MX""]","[""zh"",""en"",""es""]","false","active","[]","sequence保留模拟配方中的成分顺序。"
"MV-SERUM-001-F009","MV-SERUM-001","ingredient","ingredient","甜菜碱","string","","6","A","SIM-SPEC-SERUM-V1","project_simulated_product_specification","[""含甜菜碱"",""甜菜碱""]","[""不含甜菜碱""]","direct","[""US"",""MX""]","[""zh"",""en"",""es""]","false","active","[]","sequence保留模拟配方中的成分顺序。"
"MV-SERUM-001-F010","MV-SERUM-001","ingredient","ingredient","羟乙基纤维素","string","","7","A","SIM-SPEC-SERUM-V1","project_simulated_product_specification","[""含羟乙基纤维素"",""羟乙基纤维素""]","[""不含羟乙基纤维素""]","direct","[""US"",""MX""]","[""zh"",""en"",""es""]","false","active","[]","sequence保留模拟配方中的成分顺序。"
"MV-SERUM-001-F011","MV-SERUM-001","ingredient","ingredient","柠檬酸","string","","8","A","SIM-SPEC-SERUM-V1","project_simulated_product_specification","[""含柠檬酸"",""柠檬酸""]","[""不含柠檬酸""]","direct","[""US"",""MX""]","[""zh"",""en"",""es""]","false","active","[]","sequence保留模拟配方中的成分顺序。"
"MV-SERUM-001-F012","MV-SERUM-001","ingredient","ingredient","苯甲酸钠","string","","9","A","SIM-SPEC-SERUM-V1","project_simulated_product_specification","[""含苯甲酸钠"",""苯甲酸钠""]","[""不含苯甲酸钠""]","direct","[""US"",""MX""]","[""zh"",""en"",""es""]","false","active","[]","sequence保留模拟配方中的成分顺序。"
"MV-SERUM-001-F013","MV-SERUM-001","ingredient","ingredient","山梨酸钾","string","","10","A","SIM-SPEC-SERUM-V1","project_simulated_product_specification","[""含山梨酸钾"",""山梨酸钾""]","[""不含山梨酸钾""]","direct","[""US"",""MX""]","[""zh"",""en"",""es""]","false","active","[]","sequence保留模拟配方中的成分顺序。"
"MV-SERUM-001-F014","MV-SERUM-001","target_user","target_users","希望增加日常补水步骤、偏好轻盈质地的成年人","string","","","A","SIM-SPEC-SERUM-V1","project_simulated_product_specification","[""希望增加日常补水步骤、偏好轻盈质地的成年人""]","[""适合所有人"",""对所有敏感肌绝对安全""]","direct","[""US"",""MX""]","[""zh"",""en"",""es""]","false","active","[]",""
"MV-SERUM-001-F015","MV-SERUM-001","usage","usage_instruction","洁面后取1—2泵涂抹于面部和颈部，再使用面霜；避开眼周","string","","","A","SIM-SPEC-SERUM-V1","project_simulated_product_specification","[""洁面后取1—2泵涂抹于面部和颈部，再使用面霜；避开眼周""]","[""改变使用顺序或用量"",""省略必要注意事项""]","direct","[""US"",""MX""]","[""zh"",""en"",""es""]","false","active","[]",""
"MV-SERUM-001-F016","MV-SERUM-001","usage","usage_amount_min","1","number","pump","","A","SIM-SPEC-SERUM-V1","project_simulated_product_specification","[""1 pump""]","[""未经确认的其他用量或时长""]","direct","[""US"",""MX""]","[""zh"",""en"",""es""]","true","active","[]",""
"MV-SERUM-001-F017","MV-SERUM-001","usage","usage_amount_max","2","number","pump","","A","SIM-SPEC-SERUM-V1","project_simulated_product_specification","[""2 pump""]","[""未经确认的其他用量或时长""]","direct","[""US"",""MX""]","[""zh"",""en"",""es""]","true","active","[]",""
"MV-SERUM-001-F018","MV-SERUM-001","specification","verified_feature","无添加香精","string","","1","A","SIM-SPEC-SERUM-V1","project_simulated_product_specification","[""无添加香精""]","[""将规格特征升级为临床或绝对化功效""]","direct","[""US"",""MX""]","[""zh"",""en"",""es""]","false","active","[]",""
"MV-SERUM-001-F019","MV-SERUM-001","specification","verified_feature","水基凝露质地","string","","2","A","SIM-SPEC-SERUM-V1","project_simulated_product_specification","[""水基凝露质地""]","[""将规格特征升级为临床或绝对化功效""]","direct","[""US"",""MX""]","[""zh"",""en"",""es""]","false","active","[]",""
"MV-SERUM-001-F020","MV-SERUM-001","specification","verified_feature","透明质酸钠与泛醇列于模拟配方","string","","3","A","SIM-SPEC-SERUM-V1","project_simulated_product_specification","[""透明质酸钠与泛醇列于模拟配方""]","[""将规格特征升级为临床或绝对化功效""]","direct","[""US"",""MX""]","[""zh"",""en"",""es""]","false","active","[]",""
"MV-SERUM-001-F021","MV-SERUM-001","specification","verified_feature","按压泵包装","string","","4","A","SIM-SPEC-SERUM-V1","project_simulated_product_specification","[""按压泵包装""]","[""将规格特征升级为临床或绝对化功效""]","direct","[""US"",""MX""]","[""zh"",""en"",""es""]","false","active","[]",""
"MV-SERUM-001-F022","MV-SERUM-001","function","allowed_benefit","帮助肌肤感觉水润","string","","1","B","SIM-CLAIM-SERUM-V1","project_simulated_internal_claim_review","[""帮助肌肤感觉水润""]","[""治疗或治愈皮肤疾病"",""临床证明（未提供证据）"",""保证所有用户获得相同结果""]","cautious","[""US"",""MX""]","[""zh"",""en"",""es""]","false","caution","[]","内部允许的谨慎功效表达；无外部临床或消费者研究证据。"
"MV-SERUM-001-F023","MV-SERUM-001","function","allowed_benefit","适合作为面霜前的补水步骤","string","","2","B","SIM-CLAIM-SERUM-V1","project_simulated_internal_claim_review","[""适合作为面霜前的补水步骤""]","[""治疗或治愈皮肤疾病"",""临床证明（未提供证据）"",""保证所有用户获得相同结果""]","cautious","[""US"",""MX""]","[""zh"",""en"",""es""]","false","caution","[]","内部允许的谨慎功效表达；无外部临床或消费者研究证据。"
"MV-SERUM-001-F024","MV-SERUM-001","function","allowed_benefit","使用后肌肤感觉柔软","string","","3","B","SIM-CLAIM-SERUM-V1","project_simulated_internal_claim_review","[""使用后肌肤感觉柔软""]","[""治疗或治愈皮肤疾病"",""临床证明（未提供证据）"",""保证所有用户获得相同结果""]","cautious","[""US"",""MX""]","[""zh"",""en"",""es""]","false","caution","[]","内部允许的谨慎功效表达；无外部临床或消费者研究证据。"
"MV-SERUM-001-F025","MV-SERUM-001","risk_limit","prohibited_claim","24小时或72小时保湿","string","","1","D","SIM-CLAIM-SERUM-V1","project_simulated_internal_claim_review","[]","[""24小时或72小时保湿""]","blocked","[""US"",""MX""]","[""zh"",""en"",""es""]","false","prohibited","[]","命中该表达或语义等价表达时阻止内容导出。"
"MV-SERUM-001-F026","MV-SERUM-001","risk_limit","prohibited_claim","修复受损皮肤屏障","string","","2","D","SIM-CLAIM-SERUM-V1","project_simulated_internal_claim_review","[]","[""修复受损皮肤屏障""]","blocked","[""US"",""MX""]","[""zh"",""en"",""es""]","false","prohibited","[]","命中该表达或语义等价表达时阻止内容导出。"
"MV-SERUM-001-F027","MV-SERUM-001","risk_limit","prohibited_claim","消除细纹","string","","3","D","SIM-CLAIM-SERUM-V1","project_simulated_internal_claim_review","[]","[""消除细纹""]","blocked","[""US"",""MX""]","[""zh"",""en"",""es""]","false","prohibited","[]","命中该表达或语义等价表达时阻止内容导出。"
"MV-SERUM-001-F028","MV-SERUM-001","risk_limit","prohibited_claim","逆转衰老","string","","4","D","SIM-CLAIM-SERUM-V1","project_simulated_internal_claim_review","[]","[""逆转衰老""]","blocked","[""US"",""MX""]","[""zh"",""en"",""es""]","false","prohibited","[]","命中该表达或语义等价表达时阻止内容导出。"
"MV-SERUM-001-F029","MV-SERUM-001","risk_limit","prohibited_claim","医用级","string","","5","D","SIM-CLAIM-SERUM-V1","project_simulated_internal_claim_review","[]","[""医用级""]","blocked","[""US"",""MX""]","[""zh"",""en"",""es""]","false","prohibited","[]","命中该表达或语义等价表达时阻止内容导出。"
"MV-SERUM-001-F030","MV-SERUM-001","risk_limit","prohibited_claim","临床证明","string","","6","D","SIM-CLAIM-SERUM-V1","project_simulated_internal_claim_review","[]","[""临床证明""]","blocked","[""US"",""MX""]","[""zh"",""en"",""es""]","false","prohibited","[]","命中该表达或语义等价表达时阻止内容导出。"
"MV-SERUM-001-F031","MV-SERUM-001","packaging","packaging_feature","30 mL不透明PP按压泵瓶","string","","1","A","SIM-SPEC-SERUM-V1","project_simulated_product_specification","[""30 mL不透明PP按压泵瓶""]","[""100%环保"",""保证可回收"",""零废弃""]","direct","[""US"",""MX""]","[""zh"",""en"",""es""]","false","active","[]",""
"MV-SERUM-001-F032","MV-SERUM-001","price","price_usd","24","number","USD","","A","SIM-SPEC-SERUM-V1","project_simulated_product_specification","[""USD 24.00""]","[""虚构折扣"",""最低价保证""]","direct","[""US"",""MX""]","[""zh"",""en"",""es""]","true","active","[]","模拟建议零售价；发布前必须重新确认。"
"MV-SERUM-001-F033","MV-SERUM-001","price","price_mxn","479","number","MXN","","A","SIM-SPEC-SERUM-V1","project_simulated_product_specification","[""MXN 479.00""]","[""虚构折扣"",""最低价保证""]","direct","[""US"",""MX""]","[""zh"",""en"",""es""]","true","active","[]","模拟建议零售价；不是由汇率公式换算，发布前必须重新确认。"
"MV-SERUM-001-F034","MV-SERUM-001","specification","variants","仅30 mL","string","","","A","SIM-SPEC-SERUM-V1","project_simulated_product_specification","[""仅30 mL""]","[""未经确认的其他规格或套装""]","direct","[""US"",""MX""]","[""zh"",""en"",""es""]","false","active","[]",""
"MV-SERUM-001-F035","MV-SERUM-001","market","target_market","US","string","","","A","SIM-SPEC-SERUM-V1","project_simulated_product_specification","[""US""]","[""将目标市场范围表述为已获得当地监管批准""]","direct","[""US""]","[""zh"",""en"",""es""]","false","active","[]",""
"MV-SERUM-001-F036","MV-SERUM-001","market","target_market","MX","string","","","A","SIM-SPEC-SERUM-V1","project_simulated_product_specification","[""MX""]","[""将目标市场范围表述为已获得当地监管批准""]","direct","[""MX""]","[""zh"",""en"",""es""]","false","active","[]",""
"MV-SERUM-001-F037","MV-SERUM-001","certification","verified_certification","none_verified","string","","","A","SIM-SPEC-SERUM-V1","project_simulated_product_specification","[""未提供可验证认证""]","[""临床认证"",""皮肤科医生认证"",""TSA批准"",""监管机构批准""]","direct","[""US"",""MX""]","[""zh"",""en"",""es""]","false","active","[]","表示当前项目资料中没有可验证认证，不表示商品不需要合规审核。"
"MV-SERUM-001-F038","MV-SERUM-001","marketing_direction","content_hypothesis","测试轻盈质地与不黏腻诉求的内容角度","string","","","C","data/products/product_cards/MV-SERUM-001.md#营销建议（不是商品事实）","project_simulated_marketing_hypothesis","[]","[""不得作为确定商品事实直接输出""]","not_directly_usable","[""US""]","[""en""]","false","non_fact","[]","只有在消费者洞察阶段获得数据支持且与商品事实匹配后，才能用于卖点选择。"
"MV-SERUM-001-F039","MV-SERUM-001","marketing_direction","content_hypothesis","测试与早晚基础护理步骤结合的内容角度","string","","","C","data/products/product_cards/MV-SERUM-001.md#营销建议（不是商品事实）","project_simulated_marketing_hypothesis","[]","[""不得作为确定商品事实直接输出""]","not_directly_usable","[""MX""]","[""es""]","false","non_fact","[]","只有在消费者洞察阶段获得数据支持且与商品事实匹配后，才能用于卖点选择。"
